"No.","Time","Source","Destination","Protocol","Length","Type","Code","Timestamp from icmp data","Info"
"340","159.039261522","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:29.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=153/39168, ttl=64 (request in 339)"
"341","160.063233692","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:30.000000000 PDT","Echo (ping) request  id=0x0e90, seq=154/39424, ttl=64 (reply in 342)"
"342","160.063283814","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:30.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=154/39424, ttl=64 (request in 341)"
"343","161.087339597","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:31.000000000 PDT","Echo (ping) request  id=0x0e90, seq=155/39680, ttl=64 (reply in 344)"
"344","161.087375876","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:31.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=155/39680, ttl=64 (request in 343)"
"345","162.111396741","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:32.000000000 PDT","Echo (ping) request  id=0x0e90, seq=156/39936, ttl=64 (reply in 346)"
"346","162.111437855","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:32.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=156/39936, ttl=64 (request in 345)"
"347","163.135529681","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:33.000000000 PDT","Echo (ping) request  id=0x0e90, seq=157/40192, ttl=64 (reply in 348)"
"348","163.135579301","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:33.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=157/40192, ttl=64 (request in 347)"
"349","164.159050164","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:34.000000000 PDT","Echo (ping) request  id=0x0e90, seq=158/40448, ttl=64 (reply in 350)"
"350","164.159087555","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:34.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=158/40448, ttl=64 (request in 349)"
"351","165.183444489","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:35.000000000 PDT","Echo (ping) request  id=0x0e90, seq=159/40704, ttl=64 (reply in 352)"
"352","165.183479902","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:35.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=159/40704, ttl=64 (request in 351)"
"353","166.212366320","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:36.000000000 PDT","Echo (ping) request  id=0x0e90, seq=160/40960, ttl=64 (reply in 354)"
