,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip
233,299.94,80,4800,60,icmp,10.0.1.9,10.0.1.3
234,299.91,40,3840,60,udp,10.0.1.12,10.0.1.3
235,299.88,40,2400,60,tcp,10.0.1.14,10.0.1.3
236,299.865,120,11520,60,tcp,10.0.1.15,10.0.1.3
237,299.86,40,3520,60,udp,10.0.1.18,10.0.1.3
238,299.83,120,11520,60,udp,10.0.1.19,10.0.1.3
239,299.82,80,7680,60,udp,10.0.1.2,10.0.1.3
240,299.805,40,3840,60,udp,10.0.1.4,10.0.1.3
241,299.8,40,3840,60,udp,10.0.1.8,10.0.1.3
242,299.75,40,3840,60,udp,10.0.1.10,10.0.1.3
243,299.745,80,7680,60,tcp,10.0.1.13,10.0.1.3
244,299.72,160,15360,60,tcp,10.0.1.14,10.0.1.3
245,299.715,40,3840,60,tcp,10.0.1.16,10.0.1.3
246,299.7,40,3840,60,tcp,10.0.1.17,10.0.1.3
247,299.695,40,3840,60,tcp,10.0.1.18,10.0.1.3
248,299.68,40,3840,60,udp,10.0.1.7,10.0.1.3
249,299.63,40,3840,60,udp,10.0.1.9,10.0.1.3
250,299.62,40,3840,60,udp,10.0.1.17,10.0.1.3
251,299.565,40,3840,60,udp,10.0.1.19,10.0.1.3
252,299.55,200,14880,60,tcp,10.0.1.11,10.0.1.3
253,299.49,40,2400,60,tcp,10.0.1.12,10.0.1.3
254,299.485,40,2400,60,tcp,10.0.1.13,10.0.1.3
255,299.485,40,2400,60,tcp,10.0.1.14,10.0.1.3
256,299.48,40,2400,60,tcp,10.0.1.15,10.0.1.3
257,299.48,40,2640,60,tcp,10.0.1.17,10.0.1.3
258,299.465,40,2640,60,tcp,10.0.1.18,10.0.1.3
259,299.46,40,2400,60,icmp,10.0.1.2,10.0.1.3
260,299.445,80,5040,60,tcp,10.0.1.4,10.0.1.3
261,299.44,80,4800,60,tcp,10.0.1.5,10.0.1.3
262,299.425,40,2400,60,tcp,10.0.1.6,10.0.1.3
263,299.42,40,3840,60,tcp,10.0.1.7,10.0.1.3
264,299.41,40,2400,60,tcp,10.0.1.13,10.0.1.3
265,299.385,40,3840,60,udp,10.0.1.15,10.0.1.3
266,299.37,40,3840,60,udp,10.0.1.19,10.0.1.3
267,299.35,40,3840,60,udp,10.0.1.1,10.0.1.3
268,299.325,40,3840,60,udp,10.0.1.5,10.0.1.3
269,299.31,40,3840,60,udp,10.0.1.6,10.0.1.3
270,299.3,40,3840,60,udp,10.0.1.14,10.0.1.3
271,299.24,40,3840,60,udp,10.0.1.16,10.0.1.3
272,299.23,40,2400,60,tcp,10.0.1.17,10.0.1.3
273,299.225,80,4800,60,tcp,10.0.1.18,10.0.1.3
274,299.22,40,2400,60,tcp,10.0.1.2,10.0.1.3
275,299.2,40,3840,60,tcp,10.0.1.4,10.0.1.3
276,299.195,80,6240,60,tcp,10.0.1.5,10.0.1.3
277,299.185,40,3560,60,udp,10.0.1.6,10.0.1.3
278,299.175,120,11520,60,udp,10.0.1.7,10.0.1.3
279,299.16,80,7680,60,udp,10.0.1.10,10.0.1.3
280,299.14,40,3840,60,udp,10.0.1.11,10.0.1.3
281,299.135,40,3840,60,udp,10.0.1.12,10.0.1.3
282,299.12,40,3840,60,udp,10.0.1.16,10.0.1.3
283,299.09,40,3840,60,udp,10.0.1.17,10.0.1.3
284,299.07,40,3840,60,udp,10.0.1.18,10.0.1.3
285,299.065,40,3840,60,udp,10.0.1.4,10.0.1.3
286,299.04,240,23040,60,udp,10.0.1.4,10.0.1.3
287,298.925,40,3840,60,udp,10.0.1.6,10.0.1.3
288,298.91,40,3840,60,udp,10.0.1.11,10.0.1.3
289,298.885,80,7680,60,udp,10.0.1.12,10.0.1.3
290,298.88,40,3840,60,udp,10.0.1.18,10.0.1.3
291,298.84,40,3840,60,udp,10.0.1.1,10.0.1.3
292,298.82,40,3840,60,udp,10.0.1.2,10.0.1.3
293,298.815,40,3840,60,udp,10.0.1.6,10.0.1.3
294,298.79,280,26880,60,udp,10.0.1.8,10.0.1.3
295,298.77,40,3840,60,tcp,10.0.1.13,10.0.1.3
296,298.735,40,2400,60,tcp,10.0.1.17,10.0.1.3
297,298.715,40,3840,60,tcp,10.0.1.1,10.0.1.3
298,298.69,80,4800,60,tcp,10.0.1.6,10.0.1.3
299,298.68,160,11040,60,tcp,10.0.1.8,10.0.1.3
300,298.665,40,2400,60,tcp,10.0.1.11,10.0.1.3
301,298.65,40,3840,60,tcp,10.0.1.12,10.0.1.3
302,298.645,40,3560,60,udp,10.0.1.14,10.0.1.3
303,298.63,120,11520,60,udp,10.0.1.15,10.0.1.3
304,298.62,80,7680,60,udp,10.0.1.16,10.0.1.3
305,298.605,40,3840,60,udp,10.0.1.17,10.0.1.3
306,298.605,40,3840,60,udp,10.0.1.18,10.0.1.3
307,298.6,40,3840,60,udp,10.0.1.19,10.0.1.3
308,298.585,40,2400,60,tcp,10.0.1.1,10.0.1.3
309,298.575,40,2400,60,tcp,10.0.1.2,10.0.1.3
310,298.565,40,2400,60,tcp,10.0.1.16,10.0.1.3
311,298.45,40,2400,60,tcp,10.0.1.17,10.0.1.3
312,298.44,80,4800,60,icmp,10.0.1.2,10.0.1.3
313,298.39,280,19680,60,tcp,10.0.1.18,10.0.1.3
314,298.27,40,2400,60,tcp,10.0.1.5,10.0.1.3
315,298.235,80,6960,60,tcp,10.0.1.6,10.0.1.3
316,298.225,40,2400,60,tcp,10.0.1.7,10.0.1.3
317,298.22,40,3120,60,tcp,10.0.1.9,10.0.1.3
318,298.205,40,3560,60,udp,10.0.1.12,10.0.1.3
319,298.165,120,11520,60,udp,10.0.1.13,10.0.1.3
320,298.155,80,7680,60,udp,10.0.1.14,10.0.1.3
321,298.15,40,3840,60,udp,10.0.1.15,10.0.1.3
322,298.14,40,3840,60,udp,10.0.1.17,10.0.1.3
323,298.125,40,3840,60,udp,10.0.1.19,10.0.1.3
324,298.11,40,3840,60,udp,10.0.1.2,10.0.1.3
325,298.09,40,3840,60,udp,10.0.1.5,10.0.1.3
326,298.08,160,15360,60,tcp,10.0.1.14,10.0.1.3
327,298.025,40,3840,60,tcp,10.0.1.16,10.0.1.3
328,298.015,40,3840,60,tcp,10.0.1.17,10.0.1.3
329,298.005,40,3840,60,tcp,10.0.1.18,10.0.1.3
330,297.995,40,2640,60,tcp,10.0.1.8,10.0.1.3
331,297.945,40,2640,60,tcp,10.0.1.9,10.0.1.3
332,297.945,40,2400,60,tcp,10.0.1.8,10.0.1.3
333,297.825,200,12000,60,tcp,10.0.1.2,10.0.1.3
334,297.745,160,11040,60,tcp,10.0.1.6,10.0.1.3
335,297.725,80,6240,60,tcp,10.0.1.12,10.0.1.3
336,297.68,40,2400,60,tcp,10.0.1.13,10.0.1.3
337,297.675,40,2400,60,tcp,10.0.1.16,10.0.1.3
338,297.645,40,2400,60,tcp,10.0.1.18,10.0.1.3
339,297.63,160,9600,60,icmp,10.0.1.6,10.0.1.3
340,297.57,40,2400,60,icmp,10.0.1.10,10.0.1.3
341,297.54,40,2400,60,icmp,10.0.1.16,10.0.1.3
342,297.49,40,2400,60,icmp,10.0.1.17,10.0.1.3
343,297.485,40,3840,60,tcp,10.0.1.8,10.0.1.3
344,297.41,80,4800,60,tcp,10.0.1.10,10.0.1.3
345,297.395,40,3840,60,tcp,10.0.1.12,10.0.1.3
346,297.38,40,3840,60,udp,10.0.1.14,10.0.1.3
347,297.36,40,3840,60,tcp,10.0.1.16,10.0.1.3
348,297.335,40,3840,60,udp,10.0.1.17,10.0.1.3
349,297.33,40,3840,60,tcp,10.0.1.10,10.0.1.3
350,297.24,40,2400,60,tcp,10.0.1.11,10.0.1.3
351,297.235,40,3840,60,udp,10.0.1.12,10.0.1.3
352,297.225,40,3840,60,tcp,10.0.1.13,10.0.1.3
353,297.22,40,2800,60,tcp,10.0.1.14,10.0.1.3
354,297.215,80,7680,60,tcp,10.0.1.7,10.0.1.3
355,297.105,40,3840,60,tcp,10.0.1.8,10.0.1.3
356,297.105,40,2800,60,tcp,10.0.1.9,10.0.1.3
357,297.105,40,2800,60,tcp,10.0.1.10,10.0.1.3
358,297.095,40,3840,60,tcp,10.0.1.9,10.0.1.3
359,296.975,40,2400,60,tcp,10.0.1.10,10.0.1.3
360,296.965,120,11520,60,tcp,10.0.1.11,10.0.1.3
361,296.95,40,3840,60,tcp,10.0.1.12,10.0.1.3
362,296.94,40,3840,60,tcp,10.0.1.13,10.0.1.3
363,296.92,40,2400,60,tcp,10.0.1.2,10.0.1.3
364,296.865,40,3840,60,tcp,10.0.1.4,10.0.1.3
365,296.86,40,2400,60,tcp,10.0.1.5,10.0.1.3
366,296.855,40,3560,60,udp,10.0.1.7,10.0.1.3
367,296.82,120,11520,60,udp,10.0.1.8,10.0.1.3
368,296.81,40,3840,60,udp,10.0.1.10,10.0.1.3
369,296.8,40,3840,60,udp,10.0.1.11,10.0.1.3
370,296.785,40,3840,60,udp,10.0.1.12,10.0.1.3
371,296.775,40,3840,60,udp,10.0.1.14,10.0.1.3
372,296.755,160,9600,60,tcp,10.0.1.8,10.0.1.3
373,296.68,40,2400,60,icmp,10.0.1.15,10.0.1.3
374,296.635,40,2400,60,icmp,10.0.1.16,10.0.1.3
375,296.63,80,4800,60,icmp,10.0.1.9,10.0.1.3
376,296.56,40,2800,60,tcp,10.0.1.7,10.0.1.3
377,296.47,40,2800,60,tcp,10.0.1.8,10.0.1.3
378,296.465,40,2400,60,tcp,10.0.1.15,10.0.1.3
379,296.425,40,3840,60,tcp,10.0.1.16,10.0.1.3
380,296.415,120,8640,60,tcp,10.0.1.17,10.0.1.3
381,296.41,80,5040,60,tcp,10.0.1.18,10.0.1.3
382,296.405,40,2800,60,tcp,10.0.1.2,10.0.1.3
383,296.38,40,2400,60,tcp,10.0.1.17,10.0.1.3
384,296.26,40,3640,60,tcp,10.0.1.10,10.0.1.3
385,296.21,40,2400,60,tcp,10.0.1.11,10.0.1.3
386,296.2,40,2400,60,tcp,10.0.1.15,10.0.1.3
387,296.17,40,2400,60,tcp,10.0.1.16,10.0.1.3
388,296.165,40,3840,60,tcp,10.0.1.17,10.0.1.3
389,296.16,40,2400,60,tcp,10.0.1.13,10.0.1.3
390,296.045,40,3840,60,tcp,10.0.1.17,10.0.1.3
391,296,40,3840,60,tcp,10.0.1.18,10.0.1.3
392,295.995,40,2400,60,tcp,10.0.1.19,10.0.1.3
393,295.985,80,6240,60,tcp,10.0.1.2,10.0.1.3
394,295.975,160,14160,60,tcp,10.0.1.4,10.0.1.3
395,295.965,40,3840,60,tcp,10.0.1.5,10.0.1.3
396,295.945,40,3840,60,tcp,10.0.1.6,10.0.1.3
397,295.94,40,2640,60,tcp,10.0.1.16,10.0.1.3
398,295.875,40,2640,60,tcp,10.0.1.5,10.0.1.3
399,295.805,40,2400,60,tcp,10.0.1.6,10.0.1.3
400,295.79,40,3840,60,tcp,10.0.1.7,10.0.1.3
401,295.785,160,15360,60,tcp,10.0.1.10,10.0.1.3
402,295.755,40,3840,60,tcp,10.0.1.11,10.0.1.3
403,295.745,40,2400,60,tcp,10.0.1.15,10.0.1.3
404,295.72,80,6320,60,tcp,10.0.1.7,10.0.1.3
405,295.645,40,3520,60,tcp,10.0.1.8,10.0.1.3
406,295.64,40,2800,60,tcp,10.0.1.10,10.0.1.3
407,295.615,40,3440,60,tcp,10.0.1.11,10.0.1.3
408,295.61,40,2800,60,tcp,10.0.1.12,10.0.1.3
409,295.595,40,2800,60,tcp,10.0.1.13,10.0.1.3
410,295.59,40,3440,60,tcp,10.0.1.14,10.0.1.3
411,295.58,40,2800,60,tcp,10.0.1.15,10.0.1.3
412,295.575,80,6240,60,tcp,10.0.1.13,10.0.1.3
413,295.445,80,6240,60,tcp,10.0.1.17,10.0.1.3
414,295.405,40,2400,60,tcp,10.0.1.1,10.0.1.3
415,295.385,40,2400,60,tcp,10.0.1.2,10.0.1.3
416,295.38,240,17280,60,tcp,10.0.1.8,10.0.1.3
417,295.325,40,2400,60,tcp,10.0.1.2,10.0.1.3
418,295.22,80,7680,60,tcp,10.0.1.18,10.0.1.3
419,295.11,40,3840,60,tcp,10.0.1.19,10.0.1.3
420,295.095,40,2400,60,tcp,10.0.1.1,10.0.1.3
421,295.09,40,3840,60,tcp,10.0.1.4,10.0.1.3
422,295.07,120,7200,60,tcp,10.0.1.13,10.0.1.3
423,294.62,200,12000,60,tcp,10.0.1.14,10.0.1.3
424,294.61,40,2400,60,tcp,10.0.1.13,10.0.1.3
425,294.485,120,11520,60,tcp,10.0.1.13,10.0.1.3
