,Unnamed: 0,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip,arrival_frequency
180,3366,46.401,40,14320,60,udp,10.0.1.1,10.0.1.3,0.019367635
181,3380,46.358,40,14880,60,tcp,10.0.1.1,10.0.1.3,0.019367635
182,3393,46.326,40,15360,60,tcp,10.0.1.1,10.0.1.3,0.019367635
183,3407,46.292,40,15360,60,tcp,10.0.1.1,10.0.1.3,0.019367635
184,3422,46.265,40,16320,60,udp,10.0.1.1,10.0.1.3,0.019367635
185,3431,46.165,40,17280,60,udp,10.0.1.1,10.0.1.3,0.019367635
186,3438,46.133,40,1776,60,udp,10.0.1.1,10.0.1.3,0.019367635
187,3452,46.089,40,1872,60,udp,10.0.1.1,10.0.1.3,0.019367635
188,3476,46.047,40,1920,60,tcp,10.0.1.1,10.0.1.3,0.019367635
189,3494,45.998,40,2112,60,tcp,10.0.1.1,10.0.1.3,0.019367635
190,3510,45.965,40,2256,60,tcp,10.0.1.1,10.0.1.3,0.019367635
191,3580,51.38,40,3696,60,ip,10.0.1.1,10.0.1.3,0.019367635
192,3595,48.914,40,5376,60,ip,10.0.1.1,10.0.1.3,0.054817359
193,38,70.011,120,2400,60,icmp,10.0.1.10,10.0.1.3,0.109634717
194,58,68.918,240,2400,60,tcp,10.0.1.10,10.0.1.3,0.054817359
195,73,68.562,120,2400,60,tcp,10.0.1.10,10.0.1.3,0.091362264
196,99,67.939,200,2400,60,tcp,10.0.1.10,10.0.1.3,0.036544906
197,110,67.277,80,2400,60,tcp,10.0.1.10,10.0.1.3,0.054817359
198,116,66.778,120,2400,60,icmp,10.0.1.10,10.0.1.3,0.036544906
199,121,66.184,80,2400,60,icmp,10.0.1.10,10.0.1.3,0.054817359
200,131,64.705,120,2400,60,icmp,10.0.1.10,10.0.1.3,0.036544906
201,145,64.311,80,2400,60,icmp,10.0.1.10,10.0.1.3,0.036544906
202,153,64.106,80,2400,60,icmp,10.0.1.10,10.0.1.3,0.146179623
203,193,62.138,320,2400,60,tcp,10.0.1.10,10.0.1.3,0.036544906
204,219,60.872,80,2400,60,tcp,10.0.1.10,10.0.1.3,0.036544906
205,227,60.068,80,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
206,242,59.949,40,2400,60,udp,10.0.1.10,10.0.1.3,0.036544906
207,279,59.828,80,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
208,340,59.508,40,2400,60,icmp,10.0.1.10,10.0.1.3,0.036544906
209,344,59.479,80,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
210,349,59.448,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
211,357,59.419,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
212,359,59.393,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
213,368,59.36,40,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
214,384,59.242,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.073089811
215,401,59.151,160,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
216,406,59.123,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
217,447,58.796,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.036544906
218,461,58.669,80,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
219,468,58.644,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
