 cookie=0x0, duration=49.751s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:03:ba:24:40:1b,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=11631 actions=drop
 cookie=0x0, duration=49.751s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:1b:0c:38:f1:0e,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=58774,tp_dst=443 actions=drop
 cookie=0x0, duration=49.748s, table=0, n_packets=2, n_bytes=185, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=43446,tp_dst=53 actions=drop
 cookie=0x0, duration=49.748s, table=0, n_packets=3, n_bytes=288, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43446 actions=drop
 cookie=0x0, duration=49.738s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=43447,tp_dst=53 actions=drop
 cookie=0x0, duration=49.738s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43447 actions=drop
 cookie=0x0, duration=49.738s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=575,dl_vlan_pcp=0,dl_src=00:03:ba:24:3f:fd,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=43448,tp_dst=53 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:24:40:1b,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53,tp_dst=43448 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:1b:0c:38:f1:0e,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=62178,tp_dst=443 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=86, n_bytes=8235, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:03:ba:24:40:1b,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=57805 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=238,dl_vlan_pcp=0,dl_src=00:1b:0c:38:f1:0f,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=53590,tp_dst=161 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:1b:0c:38:f1:0e,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=21398,tp_dst=443 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=1, n_bytes=60, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=719,dl_vlan_pcp=0,dl_src=00:1b:0c:38:f1:0e,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=443,tp_dst=21398 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=4, n_bytes=384, idle_timeout=60, idle_age=49, priority=65535,udp,in_port=2,dl_vlan=238,dl_vlan_pcp=0,dl_src=00:1b:0c:38:f1:0f,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=137,tp_dst=137 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=3, n_bytes=222, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:03:ba:12:e5:2a,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=3726,tp_dst=80 actions=drop
 cookie=0x0, duration=49.737s, table=0, n_packets=2, n_bytes=126, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=576,dl_vlan_pcp=0,dl_src=00:03:ba:12:e5:2a,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=80,tp_dst=3726 actions=drop
 cookie=0x0, duration=49.729s, table=0, n_packets=1, n_bytes=96, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=49,dl_vlan_pcp=0,dl_src=00:0d:93:9c:07:62,dl_dst=00:00:0c:07:ac:00,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=5900,tp_dst=56182 actions=drop
 cookie=0x0, duration=49.728s, table=0, n_packets=1, n_bytes=70, idle_timeout=60, idle_age=49, priority=65535,tcp,in_port=2,dl_vlan=49,dl_vlan_pcp=0,dl_src=00:24:97:30:1d:00,dl_dst=00:0d:93:9c:07:62,nw_src=10.0.1.2,nw_dst=10.0.1.3,nw_tos=0,tp_src=56182,tp_dst=5900 actions=drop
